"","Season","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","Team1P","Team1HomeW","Team1HomeD","Team1HomeL","Team1HomeGF","Team1HomeGA","Team1AwayW","Team1AwayD","Team1AwayL","Team1AwayGF","Team1AwayGA","Team1GD","Team1Pts","Team2P","Team2HomeW","Team2HomeD","Team2HomeL","Team2HomeGF","Team2HomeGA","Team2AwayW","Team2AwayD","Team2AwayL","Team2AwayGF","Team2AwayGA","Team2GD","Team2Pts"
"127",1,"E0","15/11/98","Coventry","Everton",3,0,"H",12,2,1,3,5,9,1,1,4,4,9,-9,11,12,0,4,2,1,5,2,2,2,6,6,-4,12
"128",1,"E0","16/11/98","Nott'm Forest","Derby",2,2,"D",12,1,2,3,2,5,1,1,4,6,13,-10,9,12,2,3,1,6,4,2,2,2,6,6,2,17
"129",1,"E0","21/11/98","Aston Villa","Liverpool",2,4,"A",12,5,1,0,11,4,3,3,0,7,2,12,28,13,2,3,2,13,10,2,1,3,7,7,3,16
"130",1,"E0","21/11/98","Blackburn","Southampton",0,2,"A",13,2,1,3,9,8,0,2,5,5,12,-6,9,13,1,2,4,9,16,0,2,4,1,14,-20,7
"131",1,"E0","21/11/98","Leeds","Charlton",4,1,"H",13,3,2,1,6,2,1,6,0,10,8,6,20,13,2,3,1,12,6,1,4,2,8,11,3,16
"132",1,"E0","21/11/98","Leicester","Chelsea",2,4,"A",13,3,2,1,7,4,1,3,3,6,9,0,17,11,4,2,0,10,3,1,3,1,7,7,7,20
"133",1,"E0","21/11/98","Middlesbrough","Coventry",2,0,"H",13,2,4,0,10,5,2,3,2,11,11,5,19,13,3,1,3,8,9,1,1,4,4,9,-6,14
"134",1,"E0","21/11/98","Sheffield Weds","Man United",3,1,"H",13,2,2,2,4,2,1,1,5,6,11,-3,12,12,5,2,0,18,6,2,2,1,8,5,15,25
"135",1,"E0","21/11/98","Tottenham","Nott'm Forest",2,0,"H",13,2,2,2,9,12,2,2,3,7,9,-5,16,13,1,3,3,4,7,1,1,4,6,13,-10,10
"136",1,"E0","21/11/98","Wimbledon","Arsenal",1,0,"H",13,2,3,1,10,8,2,2,3,7,14,-5,17,13,4,3,0,10,2,2,3,1,4,3,9,24
"137",1,"E0","22/11/98","Derby","West Ham",0,2,"A",13,2,3,1,6,4,2,3,2,8,8,2,18,13,3,3,1,10,8,2,2,2,6,7,1,20
"138",1,"E0","23/11/98","Everton","Newcastle",1,0,"H",13,0,4,2,1,5,2,2,3,6,9,-7,12,13,3,2,2,10,9,1,2,3,6,8,-1,16
"139",1,"E0","28/11/98","Charlton","Everton",1,2,"A",14,2,3,1,12,6,1,4,3,9,15,0,16,14,1,4,2,2,5,2,2,3,6,9,-6,15
"140",1,"E0","28/11/98","Chelsea","Sheffield Weds",1,1,"D",12,4,2,0,10,3,2,3,1,11,9,9,23,14,3,2,2,7,3,1,1,5,6,11,-1,15
"141",1,"E0","28/11/98","Coventry","Leicester",1,1,"D",14,3,1,3,8,9,1,1,5,4,11,-8,14,14,3,2,2,9,8,1,3,3,6,9,-2,17
"142",1,"E0","28/11/98","Newcastle","Wimbledon",3,1,"H",14,3,2,2,10,9,1,2,4,6,9,-2,16,14,3,3,1,11,8,2,2,3,7,14,-4,20
"143",1,"E0","28/11/98","Nott'm Forest","Aston Villa",2,2,"D",14,1,3,3,4,7,1,1,5,6,15,-12,10,13,5,1,1,13,8,3,3,0,7,2,10,28
"144",1,"E0","28/11/98","Southampton","Derby",0,1,"A",14,1,2,4,9,16,1,2,4,3,14,-18,10,14,2,3,2,6,6,2,3,2,8,8,0,18
